area_id,area_level,parent_area_id,area_name,spectrum_region_code,area_sort_order
ZAF,0,,South Africa,,1
ZAF_1_WC,1,ZAF,Western Cape,1,2
ZAF_1_NC,1,ZAF,Northern Cape,3,3
ZAF_1_EC,1,ZAF,Eastern Cape,2,4
ZAF_1_FS,1,ZAF,Free State,4,5
ZAF_1_KZN,1,ZAF,KwaZulu-Natal,5,6
ZAF_1_MP,1,ZAF,Mpumalanga,8,7
ZAF_1_LIM,1,ZAF,Limpopo,9,8
ZAF_1_NW,1,ZAF,North West,6,9
ZAF_1_GT,1,ZAF,Gauteng,7,10
ZAF_2_CPT,2,ZAF_1_WC,Cape Town MM,1,11
ZAF_2_DC1,2,ZAF_1_WC,West Coast DM,1,12
ZAF_2_DC2,2,ZAF_1_WC,Cape Winelands DM,1,13
ZAF_2_DC3,2,ZAF_1_WC,Overberg DM,1,14
ZAF_2_DC4,2,ZAF_1_WC,Garden Route DM,1,15
ZAF_2_DC5,2,ZAF_1_WC,Central Karoo DM,1,16
ZAF_2_DC6,2,ZAF_1_NC,Namakwa DM,3,17
ZAF_2_DC7,2,ZAF_1_NC,Pixley ka Seme DM,3,18
ZAF_2_DC8,2,ZAF_1_NC,ZF Mgcawu DM,3,19
ZAF_2_DC9,2,ZAF_1_NC,Frances Baard DM,3,20
ZAF_2_DC45,2,ZAF_1_NC,J T Gaetsewe DM,3,21
ZAF_2_BUF,2,ZAF_1_EC,Buffalo City MM,2,22
ZAF_2_NMA,2,ZAF_1_EC,N Mandela Bay MM,2,23
ZAF_2_DC10,2,ZAF_1_EC,Sarah Baartman DM,2,24
ZAF_2_DC12,2,ZAF_1_EC,Amathole DM,2,25
ZAF_2_DC13,2,ZAF_1_EC,C Hani DM,2,26
ZAF_2_DC14,2,ZAF_1_EC,Joe Gqabi DM,2,27
ZAF_2_DC15,2,ZAF_1_EC,O Tambo DM,2,28
ZAF_2_DC44,2,ZAF_1_EC,A Nzo DM,2,29
ZAF_2_MAN,2,ZAF_1_FS,Mangaung MM,4,30
ZAF_2_DC16,2,ZAF_1_FS,Xhariep DM,4,31
ZAF_2_DC18,2,ZAF_1_FS,Lejweleputswa DM,4,32
ZAF_2_DC19,2,ZAF_1_FS,T Mofutsanyana DM,4,33
ZAF_2_DC20,2,ZAF_1_FS,Fezile Dabi DM,4,34
ZAF_2_ETH,2,ZAF_1_KZN,eThekwini MM,5,35
ZAF_2_DC21,2,ZAF_1_KZN,Ugu DM,5,36
ZAF_2_DC22,2,ZAF_1_KZN,uMgungundlovu DM,5,37
ZAF_2_DC23,2,ZAF_1_KZN,Uthukela DM,5,38
ZAF_2_DC24,2,ZAF_1_KZN,Umzinyathi DM,5,39
ZAF_2_DC25,2,ZAF_1_KZN,Amajuba DM,5,40
ZAF_2_DC26,2,ZAF_1_KZN,Zululand DM,5,41
ZAF_2_DC27,2,ZAF_1_KZN,Umkhanyakude DM,5,42
ZAF_2_DC28,2,ZAF_1_KZN,King Cetshwayo DM,5,43
ZAF_2_DC29,2,ZAF_1_KZN,iLembe DM,5,44
ZAF_2_DC43,2,ZAF_1_KZN,Harry Gwala DM,5,45
ZAF_2_DC30,2,ZAF_1_MP,G Sibande DM,8,46
